Source,Target,cash,material,help
BDSU046,BDSU047,0,1,0
BDSU046,BDSU078,0,1,0
BDSU047,BDSU019,0,1,0
BDSU047,BDSU034,0,1,0
BDSU047,BDSU046,0,1,0
BDSU047,BDSU046,0,1,0
BDSU048,BDSU042,0,1,0
BDSU049,BDSU001,0,1,0
BDSU049,BDSU006,0,1,0
BDSU049,BDSU006,0,1,0
BDSU049,BDSU006,0,1,0
BDSU049,BDSU025,0,1,0
BDSU049,BDSU045,0,1,0
BDSU050,BDSU005,0,1,0
BDSU050,BDSU009,0,1,0
BDSU050,BDSU011,0,1,0
BDSU050,BDSU015,0,1,0
BDSU050,BDSU017,0,1,0
BDSU050,BDSU018,0,1,0
BDSU050,BDSU018,0,1,0
BDSU050,BDSU018,0,1,0
BDSU050,BDSU039,0,1,0
BDSU050,BDSU040,0,1,0
BDSU050,BDSU041,0,1,0
BDSU051,BDSU016,0,1,0
BDSU051,BDSU016,0,1,0
BDSU052,BDSU023,0,1,0
BDSU052,BDSU023,0,1,0
BDSU052,BDSU053,0,1,0
BDSU052,BDSU059,0,1,0
BDSU053,BDSU034,0,1,0
BDSU053,BDSU064,0,1,0
BDSU054,BDSU061,0,1,0
BDSU054,BDSU067,0,1,0
BDSU054,BDSU079,0,1,0
BDSU055,BDSU027,0,1,0
BDSU055,BDSU029,0,1,0
BDSU055,BDSU031,0,1,0
BDSU055,BDSU056,0,1,0
BDSU055,BDSU056,0,1,0
BDSU055,BDSU057,0,1,0
BDSU055,BDSU057,0,1,0
BDSU055,BDSU060,0,1,0
BDSU056,BDSU055,0,1,0
BDSU056,BDSU055,0,1,0
BDSU057,BDSU055,0,1,0
BDSU057,BDSU055,0,1,0
BDSU057,BDSU060,0,1,0
BDSU057,BDSU060,0,1,0
BDSU057,BDSU076,0,1,0
BDSU057,BDSU079,0,1,0
BDSU058,BDSU064,0,1,0
BDSU059,BDSU006,0,1,0
BDSU059,BDSU025,0,1,0
BDSU059,BDSU042,0,1,0
BDSU059,BDSU052,0,1,0
BDSU060,BDSU057,0,1,0
BDSU060,BDSU069,0,1,0
BDSU060,BDSU070,0,1,0
BDSU060,BDSU071,0,1,0
BDSU060,BDSU078,0,1,0
BDSU061,BDSU054,0,1,0
BDSU061,BDSU076,0,1,0
BDSU062,BDSU032,0,1,0
BDSU062,BDSU060,0,1,0
BDSU062,BDSU064,0,1,0
BDSU062,BDSU071,0,1,0
BDSU062,BDSU076,0,1,0
BDSU062,BDSU079,0,1,0
BDSU063,BDSU066,0,1,0
BDSU063,BDSU068,0,1,0
BDSU063,BDSU077,0,1,0
BDSU064,BDSU001,0,1,0
BDSU064,BDSU034,0,1,0
BDSU064,BDSU053,0,1,0
BDSU064,BDSU058,0,1,0
