from,to,distance
5,3,208.5499076
5,16,186.7220676
5,17,216.7271259
5,6,203.2149944
5,49,198.0773894
5,12,208.5499076
5,10,203.4242178
5,4,210.238102
5,32,185.0113907
5,46,214.5210179
5,54,168.5539644
5,2,275.7485246
5,26,274.2450928
5,47,178.0392217
5,50,225.1168845
5,73,174.5018999
5,28,191.6841779
52,51,30.78051573
52,67,49.03511903
52,57,103.5286663
52,7,106.3059309
52,24,117.9905149
52,77,5.572619896
52,42,131.7424347
52,20,120.6316394
52,38,122.119445
52,33,14.86322479
52,5,126.2906379
52,52,0
52,59,35.12955625
52,78,105.0189386
52,23,110.1738715
52,48,104.5027989
52,34,165.3272558
52,55,107.5316061
52,40,
52,22,234.0020155
52,56,226.4507412
52,21,246.2825755
52,11,236.944414
52,31,40.47170846
52,14,233.360138
52,18,214.3892011
52,61,223.3879755
52,60,236.9381188
52,53,218.9585902
52,68,257.5997289
52,58,214.2125618
52,8,313.6907473
52,9,279.0677303
52,41,215.2968882
52,76,332.1610955
52,74,111.1399909
52,45,162.6270873
52,19,44.58964248
52,27,76.14406737
52,65,47.3539262
52,69,73.65084868
52,72,64.16609315
52,63,23.54137828
52,64,60.12049305
52,79,32.30948783
52,1,181.0114361
52,37,185.6039047
52,70,60.86874917
52,36,31.7608366
52,15,162.2604173
52,25,131.8683043
52,43,229.008129
52,62,209.5410772
52,35,239.1439445
52,30,217.8468217
52,66,231.3003527
52,13,220.5939265
52,29,221.9705292
52,39,214.0203511
52,71,243.6071759
52,44,239.4310039
52,75,248.1275828
52,3,265.192749
52,16,246.8293507
52,17,271.8971808
52,6,264.3797199
52,49,251.1953826
52,12,265.192749
52,10,268.1333611
52,4,275.3297924
52,32,244.7869374
52,46,290.7026459
52,54,262.0806114
52,2,380.5795931
52,26,380.5564627
52,47,231.9889095
52,50,277.1307448
52,73,240.3349906
52,28,243.9568506
59,51,65.89840423
59,67,84.08142129
59,57,89.42950416
59,7,89.01970828
59,24,114.9206597
59,77,40.64308741
59,42,129.5280491
59,20,113.7472835
59,38,115.2417041
59,33,44.64767659
59,5,123.2120972
59,52,35.12955625
59,59,0
59,78,89.45017125
59,23,94.06925641
59,48,89.41787248
59,34,150.0779331
59,55,89.34132993
59,40,
59,22,208.9434392
59,56,205.6688536
59,21,236.0670805
59,11,223.0426188
59,31,21.55467083
59,14,217.9998991
59,18,187.4666965
59,61,198.2022284
59,60,214.1294094
59,53,192.5870191
59,68,234.4807241
59,58,189.9581491
59,8,289.650749
59,9,255.1164576
59,41,192.9074606
59,76,307.9255586
59,74,93.12539991
59,45,145.2566809
59,19,79.61675125
59,27,63.83227438
59,65,82.31023935
59,69,108.4860906
59,72,99.21745745
59,63,58.66266823
59,64,94.96847592
59,79,53.28426657
59,1,172.2690416
59,37,176.6381805
59,70,95.56297559
59,36,47.67884639
59,15,141.7505821
59,25,116.0464811
59,43,213.1303268
59,62,188.0410884
59,35,207.9040495
59,30,188.9091621
59,66,203.3659234
59,13,190.2260471
59,29,193.6696033
59,39,197.2072917
59,71,213.9284902
59,44,208.0338131
59,75,217.8386289
59,3,234.3274115
59,16,216.8837797
59,17,240.7025684
